Date,Price,Open,High,Low,Change %
19-08-2011,84560,83423,85900,83196,1.36
18-08-2011,83423,81236,83623,80847,2.75
17-08-2011,81191,81060,81531,80456,0.23
16-08-2011,81003,80025,81120,79449,1.22
15-08-2011,80025,79240,80115,78226,0.98
12-08-2011,79250,80074,80321,78107,-1.17
11-08-2011,80190,81201,82115,78498,-1.25
10-08-2011,81201,78810,81368,78161,3.03
09-08-2011,78810,77198,80520,77129,2.09
08-08-2011,77198,74319,77489,74354,3.73
05-08-2011,74420,73397,74797,73034,1.39
04-08-2011,73397,73586,74952,73097,-0.26
03-08-2011,73586,73389,74242,72980,0.27
02-08-2011,73389,71377,73672,71165,2.93
01-08-2011,71302,71875,71960,70853,-0.8
29-07-2011,71875,71205,72148,70938,0.89
28-07-2011,71241,71101,71431,70658,0.2
27-07-2011,71101,71475,71792,71014,-0.57
26-07-2011,71510,71656,71725,71050,-0.2
25-07-2011,71656,70890,72020,70926,1.18
22-07-2011,70822,70640,71297,70278,0.45
21-07-2011,70503,70960,71313,70381,-0.86
20-07-2011,71116,70636,71249,70293,0.68
19-07-2011,70636,71510,71753,70326,-1.14
18-07-2011,71448,70924,71767,70654,0.82
15-07-2011,70864,70602,70996,70212,0.37
14-07-2011,70602,70420,71019,70224,0.26
13-07-2011,70420,70012,70707,69675,0.66
12-07-2011,69957,69104,70129,68859,1.23
11-07-2011,69104,68487,69263,68325,0.99
08-07-2011,68430,67815,68611,67586,0.99
07-07-2011,67757,67955,68151,67634,-0.25
06-07-2011,67928,67325,68139,67055,0.89
05-07-2011,67327,66428,67407,66381,1.35
04-07-2011,66432,66309,66534,66210,0.29
01-07-2011,66238,67073,67175,65911,-1.16
30-06-2011,67017,67801,67855,66884,-1.16
29-06-2011,67801,67604,67882,67395,0.34
28-06-2011,67568,67366,67792,67219,0.38
27-06-2011,67312,67418,67898,67052,-0.27
24-06-2011,67492,68348,68594,67423,-1.24
23-06-2011,68341,69724,69852,67937,-1.98
22-06-2011,69724,69335,69884,69042,0.55
21-06-2011,69345,69282,69442,68979,0.09
20-06-2011,69282,68905,69585,68603,0.51
17-06-2011,68932,68615,69184,68315,0.43
16-06-2011,68635,68464,68858,68066,0.21
15-06-2011,68492,68146,68733,67799,0.5
14-06-2011,68150,67943,68632,67673,0.3
13-06-2011,67947,68422,68773,67859,-0.69
10-06-2011,68417,69045,69144,68233,-0.91
09-06-2011,69045,68695,69325,68355,0.59
08-06-2011,68639,68959,69125,68457,-0.46
07-06-2011,68959,69051,69263,68655,-0.07
06-06-2011,69005,69139,69595,68946,-0.06
03-06-2011,69045,68742,69304,68352,0.56
02-06-2011,68660,69076,69376,68141,-0.57
01-06-2011,69051,69144,69513,68562,-0.05
31-05-2011,69085,69331,69443,68930,-0.35
30-05-2011,69331,69415,69496,69074,0.02
27-05-2011,69320,68928,69514,68749,0.81
26-05-2011,68765,69031,69364,68527,-0.54
25-05-2011,69138,68976,69467,68696,0.32
24-05-2011,68918,68593,69085,68259,0.47
23-05-2011,68593,67954,68676,67715,0.98
20-05-2011,67929,67163,68141,66845,1.27
19-05-2011,67077,67423,67513,66808,-0.51
18-05-2011,67423,66957,67602,66781,0.66
17-05-2011,66982,67237,67555,66446,-0.38
16-05-2011,67237,66987,67948,66621,0.28
13-05-2011,67051,67739,68045,66534,-0.94
12-05-2011,67690,66874,67855,66514,1.23
11-05-2011,66869,67680,68222,66694,-1.35
10-05-2011,67788,67581,68011,67233,0.31
09-05-2011,67576,66751,67679,66611,1.09
06-05-2011,66845,65983,67034,65839,1.48
05-05-2011,65871,67181,67851,65449,-1.99
04-05-2011,67210,68333,68602,66823,-1.64
03-05-2011,68330,68370,379077,67939,-0.09
02-05-2011,68392,69337,69826,68035,-1.13
29-04-2011,69174,67998,69466,67816,1.71
28-04-2011,68012,67677,68293,67496,0.53
27-04-2011,67650,66976,67883,66764,1
26-04-2011,66980,66922,67316,66232,0.05
25-04-2011,66948,66688,67575,66689,0.51
22-04-2011,66609,66861,66894,66421,-0.08
21-04-2011,66659,66456,66965,66347,0.38
20-04-2011,66406,66347,66839,66155,0.12
19-04-2011,66328,66466,66695,65914,-0.33
18-04-2011,66546,65756,66697,65570,1.2
15-04-2011,65760,65628,65915,65334,0.33
14-04-2011,65544,64858,65694,64342,1.15
13-04-2011,64798,64638,65219,64169,1.04
12-04-2011,64132,65243,65290,63897,-1.18
11-04-2011,64899,64907,65322,64583,-0.12
08-04-2011,64980,64461,65059,64196,0.88
07-04-2011,64415,64241,64734,64027,0.36
06-04-2011,64185,64510,64669,64101,-0.38
05-04-2011,64432,63754,64610,63500,1.06
04-04-2011,63754,63476,63880,63252,0.74
01-04-2011,63283,63757,63924,62915,-0.6
31-03-2011,63664,63473,64149,63399,0.36
30-03-2011,63435,63245,64009,63115,0.21
29-03-2011,63303,63597,63923,63180,-0.35
28-03-2011,63527,63707,63948,63239,-0.48
25-03-2011,63832,63930,64239,63393,0.04
24-03-2011,63809,64362,64723,63608,-0.78
23-03-2011,64313,64023,64670,63921,0.41
22-03-2011,64051,64023,64128,63942,-0.07
21-03-2011,64099,64101,64677,63807,0.48
18-03-2011,63790,63349,64133,63304,0.77
17-03-2011,63304,63154,63480,62539,0.29
16-03-2011,63122,62989,63429,62857,0.27
15-03-2011,62951,64323,64382,62601,-2.08
14-03-2011,64285,64245,64856,63809,0.74
11-03-2011,63814,63718,64454,63558,0.13
10-03-2011,63729,64136,64617,63385,-0.63
09-03-2011,64136,64305,64650,63992,-0.31
08-03-2011,64333,64338,64782,64110,-0.15
07-03-2011,64426,64087,65087,64135,0.49
04-03-2011,64110,63489,64403,63425,0.93
03-03-2011,63521,64291,64724,63309,-1.19
02-03-2011,64284,64268,64562,63992,0.06
01-03-2011,64245,63843,64367,63542,0.58
28-02-2011,63873,63737,64117,63394,0.22
25-02-2011,63736,63643,64324,63478,0.25
24-02-2011,63574,63602,64498,63236,0.05
23-02-2011,63540,63165,63893,62839,0.7
22-02-2011,63099,63169,63631,62886,-0.11
21-02-2011,63169,62597,63284,62603,1
18-02-2011,62547,62596,62837,62387,-0.11
17-02-2011,62612,62370,62702,62359,0.34
16-02-2011,62400,62458,62774,62162,-0.09
15-02-2011,62456,61847,62651,61761,0.94
14-02-2011,61871,61889,62301,61546,0.08
11-02-2011,61822,62215,62500,61764,-0.5
10-02-2011,62132,61806,62424,61586,0.21
09-02-2011,61999,61665,62134,61393,0.49
08-02-2011,61696,61197,61929,60979,0.99
07-02-2011,61094,61406,61484,61082,-0.58
04-02-2011,61449,61643,61884,61319,-0.36
03-02-2011,61673,60855,61847,60495,1.3
02-02-2011,60880,60899,61223,60352,0.06
01-02-2011,60844,60996,61523,60562,-0.24
31-01-2011,60992,61348,61852,60684,-0.48
28-01-2011,61286,59714,61757,59412,2.74
27-01-2011,59652,61342,61472,59602,-2.52
26-01-2011,61192,60838,61243,60263,0.4
25-01-2011,60950,60637,61360,60449,0.47
24-01-2011,60666,61261,61702,60655,-0.9
21-01-2011,61220,61446,61706,61044,-0.36
20-01-2011,61439,62075,62546,61296,-0.99
